Index,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender
283,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,2,29,Once a month,Female
284,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,2,45,Once a month,Female
285,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,0,31,Once a year,Female
286,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,41,Once a week,Female
287,No,No,No,Yes,No,Yes,No,No,Yes,No,No,I hate it!-5,61,Never,Female
288,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,69,Never,Female
289,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,1,28,Once a month,Male
290,No,Yes,No,No,No,Yes,No,No,No,No,No,3,68,Once a month,Male
291,No,No,No,Yes,No,Yes,Yes,No,No,No,No,-4,60,Never,Male
292,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,0,56,Once a year,Female
293,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,61,Once a year,Female
294,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,61,Once a week,Male
295,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,63,Once a year,Male
296,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,40,Once a month,Female
297,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-1,36,Every three months,Male
298,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,1,30,Once a month,Female
299,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,32,Once a month,Female
300,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,37,More than once a week,Male
301,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,3,61,Once a week,Male
302,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,34,Once a month,Female
303,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,24,Once a month,Male
304,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,1,39,Once a month,Male
305,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,50,Every three months,Male
306,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,1,46,Once a month,Male
307,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,2,43,Once a month,Female
308,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,36,Once a month,Male
309,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,I hate it!-5,26,Once a week,Male
310,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,32,Once a month,Female
311,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,50,Never,Female
312,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,56,Once a year,Female
313,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,57,Every three months,Female
314,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,25,Once a year,Male
315,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,47,Once a month,Female
316,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,32,Once a year,Male
317,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,32,Once a week,Female
318,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,57,Every three months,Female
319,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,42,Once a week,Male
320,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,31,Once a week,Male
321,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-3,37,Once a year,Female
322,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,3,33,Every three months,Female
323,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,-1,46,Every three months,Female
324,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,41,Every three months,Female
325,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,-1,60,Every three months,Male
326,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,42,Once a month,Male
327,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,45,Once a month,Female
328,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,36,Every three months,Male
329,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,2,44,Once a month,Male
330,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,1,34,Once a month,Male
331,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,22,Every three months,Male
332,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,64,Every three months,Male
333,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,36,Once a month,Male
334,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a month,Male
335,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-4,69,Every three months,Female
336,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,I hate it!-5,64,Never,Female
337,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,53,Every three months,Male
338,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,-4,40,Never,Female
339,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,56,Every three months,Female
340,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,2,48,Once a week,Female
341,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,62,Once a month,Female
342,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,65,Every three months,Female
343,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,4,34,Once a month,Male
344,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,I hate it!-5,27,Never,Female
345,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,25,Every three months,Male
346,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-1,55,Once a year,Female
347,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,38,Once a week,Female
348,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,1,52,Once a month,Female
349,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,3,36,Once a month,Male
350,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,36,Once a month,Male
351,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,52,Once a month,Female
352,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,I love it!+5,49,Once a week,Female
353,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,2,58,Once a month,Female
354,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,3,67,Once a month,Female
355,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,1,56,Every three months,Female
356,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,2,43,Once a week,Female
357,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,43,Once a week,Female
358,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,23,Every three months,Female
359,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,29,Once a week,Male
360,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,32,Once a year,Male
361,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,1,35,Once a week,Female
362,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,2,46,Once a week,Male
363,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,55,Once a month,Female
364,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,45,Once a week,Female
365,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,2,39,Every three months,Male
366,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,-3,52,Once a year,Male
367,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,53,Once a month,Female
368,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,3,44,Once a month,Male
369,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,55,Once a year,Female
370,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,21,More than once a week,Female
371,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,1,48,Once a month,Male
372,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,3,57,Once a month,Female
373,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,26,Once a week,Male
374,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,2,52,Once a month,Female
375,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,4,28,Once a week,Male
376,No,Yes,No,No,No,Yes,No,Yes,No,No,No,2,58,Once a month,Male
377,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,I love it!+5,34,Once a month,Male
378,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,39,Every three months,Male
379,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,3,20,Once a month,Male
380,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,0,61,Once a year,Female
381,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,4,35,Once a week,Male
382,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,27,Never,Male
383,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,50,Once a month,Female
384,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,58,Once a month,Female
385,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,29,Once a month,Female
386,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,23,Once a week,Male
387,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,2,47,Every three months,Male
388,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,58,Every three months,Female
389,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,49,Once a month,Female
390,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,1,27,Once a month,Female
391,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,20,More than once a week,Female
392,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,0,43,Every three months,Male
393,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,0,62,Every three months,Female
394,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,55,Once a year,Female
395,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-3,62,Once a year,Female
396,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,56,Once a year,Female
397,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,60,Never,Male
398,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,42,Once a month,Female
399,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,26,Once a week,Female
400,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,55,Once a year,Female
401,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,4,42,Once a week,Male
402,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,67,Once a year,Female
403,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,43,Once a week,Male
404,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,42,Once a month,Female
405,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,50,Once a week,Female
406,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,20,Once a year,Female
407,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,50,Never,Male
408,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,1,60,Once a year,Male
409,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,21,Never,Male
410,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,33,Once a month,Male
411,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,68,Every three months,Female
412,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,26,Once a month,Male
413,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,60,Once a month,Female
414,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,52,Every three months,Female
415,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,4,70,Every three months,Female
416,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,44,Once a year,Female
417,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,23,Every three months,Female
418,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,-1,62,Every three months,Female
419,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,2,59,Once a week,Female
420,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,66,Once a week,Female
421,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,1,44,Once a month,Male
422,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,25,Once a month,Male
423,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,3,41,Once a month,Male
424,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,4,41,More than once a week,Male
425,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,33,Once a week,Male
426,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,1,45,Once a month,Female
427,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,23,More than once a week,Female
428,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,52,Once a year,Female
429,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,63,Once a month,Female
430,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,48,Once a month,Female
431,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I hate it!-5,52,Never,Male
432,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,50,Never,Male
433,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,2,28,Once a month,Male
434,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,24,Once a month,Male
435,No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,45,Once a week,Female
436,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,2,26,Every three months,Female
437,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,1,19,Every three months,Male
438,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,45,Every three months,Male
439,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,1,44,Every three months,Male
440,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,2,47,Once a month,Male
441,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,28,Once a month,Male
442,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,62,Every three months,Female
443,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,-1,33,Once a week,Male
444,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,3,67,Every three months,Female
445,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,1,67,Once a year,Female
446,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2,49,Once a month,Male
447,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,33,Once a week,Female
448,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,51,More than once a week,Female
449,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,52,Once a week,Female
450,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I love it!+5,30,More than once a week,Male
451,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,60,Once a month,Female
452,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,47,Every three months,Female
453,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,2,44,Once a month,Male
454,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,43,Every three months,Female
455,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,46,Once a month,Male
456,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,1,40,Once a month,Female
457,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,48,Once a year,Female
458,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,0,53,Once a month,Female
459,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,35,Every three months,Male
460,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,51,Every three months,Male
461,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,2,26,Once a month,Male
462,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-2,46,Every three months,Female
463,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,39,Once a month,Female
464,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,38,Once a year,Male
465,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,40,Once a month,Female
466,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,36,Once a month,Female
467,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,56,Never,Female
468,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a month,Female
469,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,39,Once a month,Female
470,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,22,Every three months,Female
471,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,3,27,Once a month,Male
472,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,23,Every three months,Female
473,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,21,Every three months,Female
474,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,33,Every three months,Male
475,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,24,Never,Female
476,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,22,More than once a week,Female
477,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,54,Every three months,Female
478,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,56,Every three months,Female
479,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,20,Once a month,Male
480,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,4,41,Once a month,Female
481,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,4,70,Once a month,Male
482,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,54,Once a month,Female
483,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,3,23,Once a month,Male
484,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,61,Once a month,Female
485,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,1,52,Once a week,Female
486,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,61,Once a week,Female
487,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,-2,66,Every three months,Female
488,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,40,Once a month,Female
489,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I love it!+5,26,Never,Male
490,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,2,32,Once a month,Male
491,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-2,60,Every three months,Male
492,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,38,Once a month,Male
493,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,29,Every three months,Male
494,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,69,Never,Male
495,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,64,Once a year,Male
496,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,I hate it!-5,40,Never,Male
497,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,42,Once a month,Male
498,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I hate it!-5,64,Once a month,Female
499,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,I love it!+5,22,Once a week,Male
500,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,57,Every three months,Female
501,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,28,Every three months,Female
502,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,41,Once a month,Female
503,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,56,More than once a week,Male
504,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,50,Once a month,Female
505,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,68,Never,Male
506,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,I hate it!-5,62,Once a year,Male
507,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,58,Every three months,Female
508,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,47,More than once a week,Male
509,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,3,35,Once a month,Female
510,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,4,58,Once a month,Male
511,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,21,Once a week,Female
512,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,53,Every three months,Female
513,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,38,Once a month,Female
514,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,59,Once a month,Male
515,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,4,39,Once a week,Female
516,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,2,36,Every three months,Female
517,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,26,More than once a week,Female
518,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-1,53,Once a week,Male
519,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,64,Once a month,Female
520,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,-3,56,Every three months,Female
521,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,65,Never,Male
522,No,No,No,No,Yes,No,No,No,No,No,Yes,I hate it!-5,40,Never,Male
523,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,68,Once a month,Male
524,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,65,More than once a week,Male
525,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,52,Once a month,Female
526,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,37,Once a year,Female
527,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,32,Once a year,Male
528,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,51,Once a week,Female
529,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,52,Every three months,Female
530,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,4,57,Every three months,Female
531,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,55,Every three months,Female
532,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,38,Once a month,Female
533,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,44,Once a week,Female
534,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,56,Once a year,Female
535,No,Yes,No,Yes,Yes,No,No,No,No,No,No,1,67,Once a year,Female
536,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,3,43,Once a month,Female
537,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,39,Every three months,Male
538,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,27,Once a week,Female
539,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,1,29,Once a year,Female
540,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,-1,24,Once a year,Male
541,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,37,Every three months,Male
542,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,22,Once a month,Female
543,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,-2,55,Never,Female
544,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,50,Once a year,Male
545,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,1,26,Once a month,Male
546,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,55,Every three months,Female
547,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,48,Once a month,Female
548,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,25,Once a week,Female
549,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4,32,More than once a week,Male
550,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,1,28,Every three months,Female
551,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,52,Once a year,Female
552,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,1,30,Once a week,Male
553,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-2,52,Once a year,Female
554,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,4,55,Once a month,Female
555,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,35,Once a year,Female
556,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,29,Once a week,Male
557,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,55,Once a year,Male
558,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,1,50,Every three months,Female
559,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,34,Once a week,Male
560,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,59,Never,Female
561,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,4,40,Once a week,Male
562,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,39,Once a month,Female
563,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,0,46,Every three months,Female
564,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,I love it!+5,25,Once a week,Male
565,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,48,Every three months,Male
566,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,56,Once a week,Female
